seconds,t_motor,t_ambient
3950.22,36.06,22.312
3954.31,36.06,22.25
3958.41,36.06,22.25
3962.51,36.06,22.312
3966.6,36.06,22.25
3970.7,36.06,22.312
3974.79,36.06,22.312
3978.89,36.06,22.312
3982.99,36.06,22.25
3987.08,36.06,22.312
3991.18,36.06,22.25
3995.27,36.06,22.25
3999.37,36.06,22.312
4003.47,36.06,22.312
4007.56,36.06,22.312
4011.66,36.06,22.312
4015.75,36.06,22.312
4019.85,36.06,22.312
4023.95,36.06,22.312
4028.04,36.06,22.312
4032.14,36.06,22.312
4036.23,36.06,22.312
4040.33,36.06,22.312
4044.43,36.06,22.312
4048.52,36.06,22.312
4052.62,36.06,22.312
4056.71,36.06,22.312
4060.81,36.06,22.312
4064.91,36.06,22.312
4069.0,36.06,22.312
4073.1,36.06,22.312
4077.19,36.06,22.312
4081.29,36.06,22.312
4085.39,36.06,22.312
4089.48,36.06,22.312
4093.58,36.06,22.312
4097.67,36.06,22.312
4101.77,36.06,22.312
4105.87,36.06,22.375
4109.96,36.06,22.375
4114.06,36.12,22.312
4118.15,36.12,22.312
4122.25,36.12,22.312
4126.35,36.06,22.375
4130.44,36.06,22.312
4134.54,36.12,22.312
4138.63,36.06,22.375
4142.73,36.12,22.375
4146.83,36.12,22.375
4150.92,36.12,22.375
4155.02,36.12,22.375
4159.11,36.06,22.375
4163.21,36.06,22.375
4167.31,36.06,22.375
4171.4,36.12,22.312
4175.5,36.12,22.375
4179.59,36.06,22.375
4183.69,36.06,22.375
4187.79,36.06,22.375
4191.88,36.12,22.375
4195.98,36.12,22.375
4200.07,36.06,22.375
4204.17,36.12,22.375
4208.27,36.06,22.375
4212.36,36.06,22.375
4216.46,36.06,22.375
4220.55,36.12,22.375
4224.65,36.12,22.375
4228.75,36.12,22.375
4232.84,36.12,22.375
4236.94,36.06,22.375
4241.03,36.06,22.375
4245.13,36.06,22.375
4249.23,36.06,22.375
4253.32,36.06,22.375
4257.42,36.06,22.375
4261.51,36.06,22.375
4265.61,36.12,22.375
4269.71,36.06,22.375
4273.8,36.06,22.375
4277.9,36.06,22.375
4281.99,36.06,22.375
4286.09,36.06,22.375
4290.19,36.06,22.375
4294.28,36.06,22.375
4298.38,36.06,22.375
4302.47,36.06,22.375
4306.57,36.06,22.375
4310.67,36.06,22.375
4314.76,36.06,22.375
4318.86,36.06,22.375
4322.95,36.06,22.375
4327.05,36.06,22.375
4331.15,36.06,22.437
4335.24,36.06,22.437
4339.34,36.06,22.437
4343.43,36.06,22.437
4347.53,36.12,22.437
4351.63,36.06,22.437
4355.72,36.06,22.437
4359.82,36.06,22.437
4363.91,36.06,22.437
4368.01,36.06,22.437
4372.11,36.06,22.437
4376.2,36.06,22.437
4380.3,36.06,22.437
4384.39,36.06,22.437
4388.49,36.06,22.437
4392.59,36.06,22.437
4396.68,36.06,22.437
4400.78,36.06,22.437
4404.87,36.06,22.437
4408.97,36.06,22.437
4413.07,36.06,22.437
4417.16,36.06,22.437
4421.26,36.06,22.437
4425.35,36.06,22.437
4429.45,36.06,22.437
4433.55,36.06,22.437
4437.64,36.06,22.437
4441.74,36.06,22.375
4445.83,36.06,22.375
4449.93,36.06,22.437
