seconds,t_motor,t_ambient
4353.47,26.29,22.94
4357.57,26.22,22.94
4361.66,26.22,22.94
4365.76,26.22,22.94
4369.85,26.22,22.94
4373.95,26.22,22.94
4378.05,26.22,22.94
4382.14,26.22,22.94
4386.24,26.22,22.94
4390.33,26.22,22.94
4394.43,26.22,22.94
4398.53,26.29,22.94
4402.62,26.22,22.94
4406.72,26.22,22.94
4410.81,26.22,22.94
4414.91,26.22,22.94
4419.01,26.22,22.88
4423.1,26.22,22.88
4427.2,26.22,22.88
4431.29,26.22,22.88
4435.39,26.22,22.94
4439.49,26.22,22.94
4443.58,26.22,22.94
4447.68,26.22,22.94
